ID,TOWN-CODE,Turnover_Ingresos_2012,Turnover_Ingresos_2011,WorkingCapital_FondoManiobra_2012,WorkingCapital_FondoManiobra_2011,CurrentAssets_ActivoCirculante_2012,CurrentAssets_ActivoCirculante_2011,CurrentLiability_PasivoLiquido_2012,CurrentLiability_PasivoLiquido_2011,Amortization_Amortizacion_2012,Amortization_Amortizacion_2011,IntangibleAssets_InmovilizadoInmaterial_2012,IntangibleAssets_InmovilizadoInmaterial_2011,TangibleAssets_InmovilizadoMaterial_2012,TangibleAssets_InmovilizadoMaterial_2011,AverageCollectionPeriod_PeriodoMedioDeCobro_2012,AverageCollectionPeriod_PeriodoMedioDeCobro_2011,AveragePaymentPeriod_PeriodoMedioDePago_2012,AveragePaymentPeriod_PeriodoMedioDePago_2011,InventoryTurnOver_RotacionDeInventario_2012,InventoryTurnOver_RotacionDeInventario_2011,Dividends_Dividendo_2011,Dividends_Dividendo_2012,LeveragePerc_ApalancamientoPerc_2012,LeveragePerc_ApalancamientoPerc_2011,Procurements_Aprovisionamientos_2011,Procurements_Aprovisionamientos_2012,Equity_Capital_2012,Equity_Capital_2011,Cash_Tesoreria_2012,Cash_Tesoreria_2011,ShortTermFinancialInvestments_InversionesFinancierasCortoPlazo_2011,ShortTermFinancialInvestments_InversionesFinancierasCortoPlazo_2012,LongTermFinancialInvestments_InversionesFinancierasLargoPlazo_2012,LongTermFinancialInvestments_InversionesFinancierasLargoPlazo_2011,Stock_Existencias_2012,Stock_Existencias_2011,FinancialExpenditures_2012,FinancialExpenditures_2011,FinancialDebt_DeudasFinancieras_2012,FinancialDebt_DeudasFinancieras_2011,LongTermDebt_DeudasLargoPlazo_2012,LongTermDebt_DeudasLargoPlazo_2011,ShortTermDebt_DeudasCortoPlazo_2012,ShortTermDebt_DeudasCortoPlazo_2011,TARGET
1,306,148.49467,2.11036,763.70126,910.78763,763.74036,962.84836,29.51937,305.24516,0,0,0,0,0,0,0.325,250.895,160.216,32.966,44502.665,-770934.167,0,0,333.363,354.888,0.42462,-6.1768,87.145,87.145,0.0391,0,0,0,0.04808,0.04808,763.56685,909.31685,24.43217,22.20626,23.3457,0,657.30748,850.79977,23.3457,304.99147,0
2,403,59.07277,69.98166,5.86591,14.53011,8.67026,17.44665,40.35821,23.54519,1.80363,2.02313,0,0,10.16562,11.96925,35.747,74.745,403.604,188.22,0,0,0,0,-78.031,-240.011,0,0,6.01012,6.01012,2.8029,2.91654,0,0.00145,1.87154,1.81698,0,0,1.19351,1.50305,0,0.00178,14.7814,31.38762,0,0.00178,0
3,1258,844.76018,816.0684,352.245939,384.429919,1375.26401,1290.81396,1499.16134,1336.15865,20.14704,16.459687,0,0,369.74212,388.78916,20.364,51.154,520.581,511.107,758.446,772.956,0,0,70.152,90.721,-450.81984,-498.76436,203.00644,203.00644,276.6818,76.89878,130,0,50,0.57609,1050.795,967.956,8.3696,8.43846,58.06503,57.10908,169.31958,228.05932,669.28054,571.16456,0
4,767,929.22373,2097.820109,33529.55843,42350.11159,35236.15711,44287.29772,22005.69557,7389.18583,6.18518,6.62843,2.098,2.098,11.17025,17.35543,50.064,12.969,196.808,110.656,40714.038,13054.298,0,0,375.093,170.759,-1179.64218,-300.17115,8905.9786,8905.9786,1098.96387,1368.85382,0,0,1.49028,38.46734,33947.72148,42776.11439,568.49752,1202.1561,21406.22177,6490.789,6533.15992,21648.84573,21406.35024,6490.91747,0
5,767,12,12.3,126.23046,172.29582,16688.53369,16749.45614,17355.54341,17215.01601,2.1097,2.1097,0.11225,0.11225,737.30568,739.41538,3786.913,5042.804,15808.783,20394.945,0,0,0,0,22.004,0,0,0,223.572,223.572,0,0.84653,27.225,26.62,2482.86864,2498.86016,0,0,94.141209,32.812589,602.5655,0,0,0,13506.92884,13496.4255,0
6,767,140.98469,160.20501,56.65087,114.735439,61.24192,120.44334,53.27712,62.92382,2.77422,2.80287,0,0,8.309138,11.08336,0,1.103,38.596,29.069,258.186,438.292,0,0,209.336,507.932,-97.20519,-83.33067,30,30,1.47855,1.60716,0,0,3.83216,3.004,59.76337,118.3452,4.50943,0,40.60972,44.90413,2.9,55.49687,40.86878,52.41413,0
7,767,122.52374,94.32309,112.79156,124.221489,128.06156,124.22149,28.38286,19.55898,0,0,0.60192,0.60192,24.16166,24.16166,316.923,431.638,67.353,41.435,19.202,69.46,0,0,65.226,63.772,-57.67748,-92.39766,75.138,78.144,0,0,0,0,0,0,4.92856,11.12856,1.30703,1.33703,4.25772,9.76608,46.54911,44.4347,6.62383,10.3238,1
8,776,222.17348,1887.22631,102.918299,70.134459,453.36524,409.42075,265.24889,224.90846,0,0.23389,0.44316,0,0.90302,0,545.533,50.956,1592.089,45.999,0,0,0,0,6.116,0,-1593.42429,0,50,50,115.42312,139.73106,2.5615,0.3,0,0,0.96691,0,0.24134,0.40742,11.58864,0,0,0,11.58864,9.6559,1
9,1471,1256.64798,1696.5847,274.70387,262.73761,1023.26515,897.06412,787.07338,430.98739,44.7053,56.10844,0,0,300.34671,336.78889,206.04,121.825,223.26,102.597,0,0,0,0,50.316,34.131,-434.91004,-284.32536,60.11202,60.11202,0,49.69089,273.24095,304.04028,8.91481,8.91481,0,0,24.02545,11.21994,111.20345,69.64973,108.60284,176.38778,146.21642,69.64973,0
10,27,557.15549,431.05031,54.99408,22.61186,100.39655,255.30585,646.1347,546.02952,72.81433,31.78544,6.10913,6.10913,1201.77323,945.10114,46.14,17.889,282.729,244.888,40.942,40.843,0,0,54.157,53.64,-204.00911,-176.48369,150.252,150.252,8.91523,210.73963,0,0,0,0,20.07155,23.14571,15.4262,7.48359,290.52382,270.87674,44.1587,54.2901,436.66922,347.31504,0
